Corporate Name,Corporation Number,Business Number
Mission for Advancing Theological Education,217064-7,119042802RC0001
FOUNDATION FOR ADVANCING FAMILY MEDICINE,301842-3,888288669RC0001
"Myles Ahead, Advancing Child & Youth Mental Health",1107352-4,726881717RC0001
The Indigenous Network for Advancing Northern Agricultural and Aquacultural Technology,1460353-2,746581347RC0001
"The International Institute for Advancing Engineering, Medicine and Sciences Education",1505313-7,728483215RC0001
Council Advancing Work-Based Learning,1549734-5,779439553RC0001
Advancing African Community Development Association,1597482-8,741886154RC0001
Advancing Future Innovators Inc.,1625735-6,756969028RC0001
Advancing Crystal Beach Charitable Foundation,1358227-2,760531004RC0001
CANADIAN UNION ADVANTAGE BENEFIT PROGRAMS,250119-8,874714264RC0001
DTTA Youth Advantage,1034933-0,701470692RC0001
Consolidated Auto Advantage Program,1516329-3,742072812RC0001
Anglican Church of Advent,1272950-4,782193742RC0001
Advent Aid International,1675355-8,780470167RC0001
Adventech,1177003-9,758377337RC0001
Adventive Cross Cultural Initiatives,199896-0,107771065RC0001
Canadian Adventure Racing Association,416418-1,883586109RC0001
Adventure Routes Canada,428162-4,852310036RC0001
Adventure Valley Outdoor Education,451012-7,818934291RC0001
Small World Big Adventure,1277284-1,776524266RC0001
Vankleek Hill Farm & Forest Adventure Inc.,1687617-0,706732021RC0001
THE CANADIAN CHARITY ADVENTURERS INC.,973404-0,749021093RC0001
Globe Aware Adventures in Service,446494-0,849083621RC0001
Warrior Adventures Canada,1055971-7,777268715RC0001
FASCINATING ADVENTURES CANADA,1157594-5,775239734RC0001
GTA Outdoor Adventures,1261258-5,790536148RC0001
Buntu Adventures,1480061-3,731314746
The adventures of Jay and Gizmo,1597203-5,778589424RC0001
Poppa Pie’s Adventures,1679483-1,714009222RC0001
Adventures with Dr. Appy,1683133-8,710709627RC0001
LIGHTHOUSE BIBLE ADVENTURES,1200811-4,738060870RC0001
Adventus.org Christian Ministry,437710-9,844185728RC0001
Celebrating Adversity,1200375-9,738053339RC0001
Association of Canadian Advertisers Incorporated,873654-5,Not Available
ADVERTISING STANDARDS CANADA,034347-1,100758903RC0001
PHARMACEUTICAL ADVERTISING ADVISORY BOARD -,094912-4,104174743RC0001
National Advertising Benevolent Society,161622-6,119051357RC0001
INTERACTIVE ADVERTISING BUREAU OF CANADA,347506-9,892744228RC0001
Canadian Advertising Success Stories - CASSIES,382644-9,862894797RC0001
CHRYSLER DEALERS ADVERTISING ASSOCIATION OF ONTARIO,220109-7,100963974RC0001
Digital Advertising Alliance of Canada,836883-0,829925445RC0001
Purpose Advertising,983359-5,760565697RC0001
Lincoln Dealer Advertising Association,802782-0,828742288RC0001
The Trans-Canada Advertising Agency Network Inc.,1169695-5,758896732RC0001
People of Colour In Advertising and Marketing,1282353-5,771650264RC0001
Pride in Advertising and Marketing,1486051-9,726662141
Ventum Donor-Advised Foundation,1016022-9,721656122RC0001
The Association of Certified Health Advisers,1243436-9,705331734RC0001
CANADIAN CERTIFIED CROP ADVISOR ASSOCIATION,454031-0,834328452RC0001
Canadian Round Table Advisors' Foundation,308620-8,892801978RC0001
Asian Financial Advisors Group of Canada,895436-4,842535585RC0001
Patient Advisors Network,969028-0,776398521RC0001
Genesis Advisors,1551397-9,778136754RC0001
Association of Canadian Customs Trade Advisors,1731961-4,731664363RC0001
THE MINING ADVISORY COUNCIL,362444-7,883450116RC0001
MANAGEMENT ADVISORY SERVICE OF ONTARIO,408698-8,860431667RC0001
LONDON YOUTH ADVISORY COUNCIL,855421-8,827730037RC0001
Radio Advisory Board of Canada,1081875-5,751571886RC0001
AT-REG ADVISORY GROUP,1175992-2,759180532RC0001
CANADIAN PIPELINE ADVISORY COUNCIL,1210373-7,731322871RC0001
Global Africa Trade Advisory Chamber,1329594-0,780636304RC0001
DIVERCITIES ADVISORY INC.,1420461-1,715309100RC0001
Citizens Advisory Council for Tamils,1441961-8,797555216RC0001
Sabre Training Advisory Group,1542868-8,722443819RC0001
National Indigenous Waters Advisory Committee,1638859-1,746959428RC0001
Muslim Advisory Council of Canada,1202266-4,736504739RC0001
First Nations Advisory Committee Secretariat,1525503-1,735184210RC0001
THE PUBLIC INTEREST ADVOCACY CENTRE,015520-9,130592405RC0001
CHILD CARE ADVOCACY ASSOCIATION OF CANADA,160024-9,121573422RC0001
Supreme Court Advocacy Institute,440770-9,823178322RC0001
Canadian Veterans Advocacy,838872-5,828578138RC0001
Canadian Advocacy Network,875857-3,822180436RC0001
PAA Paralegal Advocacy Association,895896-3,839839792RC0001
VIETNAMESE CANADIAN VOTING & ADVOCACY ASSOCIATION,937917-7,813608726RC0001
BridgeNorth Women's Mentorship & Advocacy Services,986219-6,738124890RC0001
VALOUR - VETERANS ADVOCACY for LONG-TERM OCCUPANCY in the UNFORGOTTEN REGIMENT FOUNDATION,989042-4,753809292RC0001
"Mind Our Neighbours, Advocacy and Capacity Empowerment (MONACE)",997237-4,744367491RC0001
Grandmothers Advocacy Network,813026-4,813011509RC0001
Ethnic Health Education and Advocacy Council,822663-6,826636334RC0001
Canadian Parents Advocacy Council,1022633-5,715796090RC0001
Advocacy Global Inc.,1073233-8,758951719RC0001
ADVOCACY CENTRE FOR WOMEN AND FAMILY MATTERS,1117028-7,719045684RC0001
Headsup Concussion Advocacy Network,1187126-9,749727079RC0001
Canadian Platform in Advocacy for Community Awareness,1252599-2,797216140RC0001
UYGHUR RIGHTS ADVOCACY PROJECT,1258745-9,791666746RC0001
Faces of Advocacy,1274266-7,780591947RC0001
Ghana Environmental Advocacy Group,1295888-1,763201340RC0001
OneHealth Advocacy Project,1327198-6,782108609RC0001
AEL Advocacy,1345809-1,769520404RC0001
Dedicated Advocacy Resource Support (DARS),1455394-2,750618746RC0001
Women and Children Research and Advocacy Network - WCRAN,1503656-9,713611945RC0001
Independent Ontario Advocacy Group,1530616-7,731552816RC0001
Shahmama Advocacy Collective of Canada,1564253-1,705846012RC0001
QUEER & TRANS MIGRANT ADVOCACY ALLIANCE OF WINDSOR-ESSEX COUNTY,1565313-4,704279215RC0001
Audit is Trustworthy Worldwide Advocacy,1576020-8,796892420RC0001
Islam & Rights Advocacy Association,1600828-3,774333629RC0001
Street Level Advocacy (of Peterborough),1602208-1,738577758RC0001
Stop Medical Kidnapping Advocacy Association,1615649-5,727318156RC0001
Speaking of Breasts - Advocacy for Solutions,1620428-7,723402350RC0001
THE EQUITY AND ADVOCACY SOCIAL JUSTICE FOUNDATION,1624247-2,754615425RC0001
Advocacy of Canadian Tamils,1626574-0,718406754RC0001
The Social Issues Advocacy Network Inc.,1638899-0,746347624RC0001
Canadian Meat Advocacy Office Inc.,1648659-2,739668622RC0001
Institute for Public Health Advocacy (IPHA),1655235-8,733641625RC0001
Child & Youth Advocacy Centres of Canada,1657185-9,790738561RC0001
Panjab Water Advocacy Network,1676317-1,779915362RC0001
The Canadian Human Rights Advocacy Coalition (CHRAC),1677978-6,775770167RC0001
Childhood Arrivals Support and Advocacy Centre of Canada,1701745-6,794324236RC0001
Sondra J. Garwood Client Advocacy & Support Corporation (SJG),1707268-6,754120160RC0001
Unified by Diabetes Awareness & Advocacy Network (UDAAN),1713401-1,785673435RC0001
Anthropocene Advocacy Through Art and Sciences Association,1722008-1,777910035RC0001
Alliance for Raya Heritage &  Advocacy,1732587-8,733731566RC0001
AdvocacyPeel Inc.,1249033-1,799874144RC0001
Consumer AdvoCare Network,380271-0,896666013RC0001
The Advocate Institute of Human Resources,316255-9,892892340RC0001
Advocate All,916758-7,816233191RC0001
Educate To Advocate,1246426-8,702532672RC0001
Spine and Brain Advocate,1287046-1,769476540RC0001
Advocate Ministries Foundation,1306811-1,796046100RC0001
Advocate Connections,1446277-7,795710219RC0001
The Helmet Advocate Foundation,1485834-4,762642015
ISNAD COMMUNITY ADVOCATE AND DEVELOPMENT ASSOCIATION,1662513-4,728191420RC0001
Air Advocates - Association for Indoor Air Quality,423694-7,856685540RC0001
The Advocates' Society,822503-6,108070707RC0001
ADVOCATES FOR THE RULE OF LAW,1039499-8,795162114RC0001
Just Peace Advocates,1070289-7,761898113RC0001
Redemption Advocates Canada,1137301-3,797884673RC0001
Advocates for Health Canada,1321731-1,785406109RC0001
Black Youth Empowerment Advocates of Peel,1337011-9,775637606RC0001
Charter Advocates Canada,1451705-9,753651546RC0001
Legal Advocates for Nature's Defence,1468265-3,778395012
Brothers advocates ontario,1564207-8,768072753RC0001
Earth Guardians Advocates,1564490-9,767731557RC0001
Harrison and Ward Veterans Advocates,1604345-3,763511227RC0001
Survivor Advocates for Empowerment,1526058-2,734854417RC0001
Canadian Prisoners Advocates,1744553-9,760215038RC0001
ADVOCIS PROTECTIVE ASSOCIATION,430505-1,828720276RC0001
Advocis Learning Centre,1604117-5,737137158RC0001
ADWA Institute,1131442-4,704560887RC0001
ADWOA HELPING HANDS FOUNDATION,1556578-2,774079552RC0001
AEA - Association of Enterprise Architects - Ottawa-Gatineau Chapter,448897-1,843181223RC0001
AECGS.CAM,1581658-1,754292555RC0001
AED Foundation of Ontario,1423949-1,711610006RC0001
AEE Greater Toronto Area Chapter,1370678-8,753135102RC0001
AEE Canada East,1732208-9,725543169RC0001
AÉÉIPPSSA,328885-4,890821093RC0001
AEEM CANADA SPORTS AND ENTERTAINMENT,1559239-9,771676558RC0001
Aegis Council for Policy Research & Innovation,1227563-5,717561336RC0001
Lux Aegis,1708837-0,788506434RC0001
Association des Anciens  Élèves de l'École Normale de Rutovu/Lycée de Rutovu-section Canada (AENR/LR-sc),1313030-4,789385200RC0001
Arwin Education Organization (AEO),1489736-6,723743142RC0001
AEQUITAS TUTORING,1526275-5,796780559RC0001
Canada Aerial Intelligent Transportation & Intelligent City Association,1268116-1,785800541RC0001
Hamilton Aerial Group Incorporated,1301676-5,759343148RC0001
Canadian Aerial Yoga Association,1548088-4,718332810RC0001
AERIC INC.,050948-5,118778091RC0001
Aero Club of Canada,058715-0,131318933RC0001
AERO CLUB EMBRUN AERO CLUB INC.,204464-1,875783672RC0001
NORTHERN LIGHTS AERO FOUNDATION,813020-5,809949688RC0001
Aerobatics Canada,031833-7,Not Available
Aeromedical,812619-4,820183481RC0001
Canadian Aeronautics and Space Institute,034353-6,106842149RC0001
MODEL AERONAUTICS ASSOCIATION OF CANADA,052091-8,127633378RC0001
GARA Aerosol Association,1595984-5,743146359RC0001
AEROSPACE INDUSTRIES ASSOCIATION OF CANADA,030307-1,106687049RC0001
CANADIAN COUNCIL FOR AVIATION & AEROSPACE,290912-0,132158015RC0001
International Association of Machinists and Aerospace Workers,973521-6,750782898RC0001
Canadian Society of Aerospace Medicine,1146695-0,787135672RC0001
CANADIAN SOCIETY OF AESTHETIC SPECIALTY NURSES,451265-1,815217294RC0001
International Association of Aesthetic Medicine,1386254-2,740458203RC0001
International Medical Aesthetic Professional Association,1471856-9,775425010
CANADIAN LASER AND AESTHETIC SPECIALISTS SOCIETY,334814-8,888701570RC0001
Asian Aesthetica Society of Canada,900506-4,839627197RC0001
AET BASKETBALL ASSOCIATION,1471629-9,775457617
Theatre Aezir,1567568-5,703071217RC0001
AFAAQ AID AND DEVELOPMENT NETWORK,928569-5,803246594RC0001
AFACTE Charity Foundation (Canada),1202649-0,736486333RC0001
Assistance For All (AFAL),1363685-2,754270106RC0001
AFANWI CHARITY RELIEF AID,1653214-4,735914426RC0001
CAN-GO AFAR FOUNDATION,448081-3,856725825RC0001
ERITREAN STATE OF AFAR IN EXILE,874013-5,824639439RC0001
RED SEA AFAR PEACE AND DEMOCRATIC FORUM,1045414-1,788092112RC0001
Canada Afar Humanitarian Development Association (CAHADA),1711848-1,750575763
Afghanistan Bible Society in Diaspora (AfBSd),1716906-0,782918635RC0001
AFC LEOPARDS CA,1692375-5,765661160RC0001
AFCA Foundation,1325039-3,783742703RC0001
AFCAN Volleyball Association,1612023-7,768098626RC0001
LE REGROUPEMENT AFFAIRES FEMMES (RAF),445649-1,820541357RC0001
Regroupement des gens d'affaires de la Capitale nationale Inc.,183460-6,107883621RC0001
Fédération des gens d'affaires francophones de l'Ontario,1258648-7,791276942RC0001
Réseau d’Affaires Burkinabé au Canada - RABC,1619374-9,762230027RC0001
THE CANADIAN INSTITUTE OF CULTURAL AFFAIRS (ICA CANADA),094868-3,119219236RC0001
The Centre for Israel and Jewish Affairs,421266-5,866125701RC0001
Canadian Association of Professionals in Regulatory Affairs,424814-7,854758349RC0001
THE INSTITUTE OF CULTURAL AFFAIRS INTERNATIONAL,437514-9,849849161RC0001
THE RIDEAU INSITUTE ON INTERNATIONAL AFFAIRS,439126-8,830869327RC0001
The Public Affairs Association of Canada Inc.,855218-5,121263198RC0001
Balsillie School of International Affairs,861133-5,800862336RC0001
POGG CANADA Public Affairs Fellowship,932499-2,760932723RC0001
HIKMA PUBLIC AFFAIRS COUNCIL,952539-4,790904098RC0001
Canadian Chinese Political Affairs Committee,1095954-5,738547082RC0001
North American Association for South Asian Affairs,1105892-4,729167080RC0001
Canadian Iraqi Affairs Council,1181802-3,754023133RC0001
Canada India Public Affairs Initiative,1394451-4,732646203RC0001
HOUSE OF RASTA & INDIGENOUS AFFAIRS,1469846-1,777036419
CANADIAN M HAJJ AFFAIRS OFFICE LTD,1484712-1,765733613
Centre for Canadian Malayali Affairs,1645269-8,704884956RC0001
Hindu Public Affairs Council of Canada,1670159-1,721815025RC0001
GUJARAT PUBLIC AFFAIRS COUNCIL OF CANADA,1016842-4,721725497RC0001
DEPARTMENT OF IMAGINARY AFFAIRS,1018375-0,700838295RC0001
Canada India Public Affairs Council,1704775-4,792495236RC0001
L'ALLIANCE DES FEMMES DE LA FRANCOPHONIE CANADIENNE (AFFC),049069-5,118913888RC0001
AFFECTIONATE HANDS,1301276-0,799706403RC0001
Alumni Association of The University of Engineering & Technology Lahore and its Affiliates,900971-0,835122789RC0001
THE CANADIAN SCIENTIFIC AND CHRISTIAN AFFILIATION INC.,038768-1,889087045RC0001
Affiliation des femmes francophones et francophiles du Canada,871338-3,835965377RC0001
Nilan Affinity Group,1024308-6,712864123RC0001
Visually Affirmed,1427662-1,708649207RC0001
Afford.Org,1113456-6,722154887RC0001
London Affordable Housing Foundation,422413-2,899042105RC0001
Canadians for Affordable Energy,958821-3,788195691RC0001
AQUIA AND KWEKU AFFORDABLE LIVING FOUNDATION,1104282-3,730598885RC0001
Community Affordable Housing Solutions,1204081-6,735594939RC0001
Anhart Affordable Housing Corporation,1283722-6,771384260RC0001
Grassroots for Affordable Jewish Education,1309535-5,794355800RC0001
Make Housing Affordable,1338694-5,774483804RC0001
Missanabie Cree Affordable Housing Corporation,1420076-4,714180809RC0001
Canadian Affordable Housing Society (CAHS),1433324-1,704714401RC0001
Canadian Alliance for Sustainable Affordable Housing,1495187-5,717911747RC0001
Quinte West Affordable Housing Coalition,1541844-5,780373155RC0001
The Noori Affordable Housing Foundation,1556175-2,712098417RC0001
Toronto Affordable Housing Projects,1667561-1,722838224RC0001
NIWAAS LIVING AFFORDABLE HOUSING,1669815-8,721861623RC0001
Affordable Horizons,1693022-1,701586422RC0001
CENTRETOWN AFFORDABLE HOUSING DEVELOPMENT CORPORATION,324470-9,899773618RC0001
Ottawa Valley Affordable Housing Inc.,1710775-7,787863232RC0001
AfgCan Bridge Organization,1303557-3,798390506RC0001
ONTARIO AFGHAN FAMILY AND SENIORS SERVICES ASSOCIATION (OAFSSA),438292-7,839900966RC0001
AFGHAN CANADIAN ISLAMIC COMMUNITY,274084-2,876950163RC0001
Afghan Canadian Muslim Outreach,874834-9,832209373RC0001
AFGHAN PROFESSIONALS OF ONTARIO,878417-5,826944779RC0001
Afghan Canadian Conference,1159083-9,773982731RC0001
Afghan Youth Engagement and Development Initiative (AYEDI),1285097-4,766188064RC0001
Afghan Youth Council of Canada,1329727-6,780613907RC0001
Canadian Afghan Lawyers Association,1334863-6,777416306RC0001
Afghan-Canadian Support Network,1352972-0,764549309RC0001
Save an Afghan Life,1369994-3,753650100RC0001
AFGHAN ATHLETES OF ONTARIO,1386604-1,740400601RC0001
Afghan Relief & Development Organization Inc.,1392477-7,732049408RC0001
Afghan Canadian Civil Society Forum,1398768-0,729748806RC0001
PAJHWOK AFGHAN NETWORK,1405373-7,725864300RC0001
AFGHAN-CANADIAN JOURNALISTS ASSOCIATION,1457633-1,786695619RC0001
AFGHAN COMMUNITY OF GUELPH,1457689-6,786424218RC0001
Afghan Women Parliamentarians and Leaders Network,1490866-0,722999943RC0001
Afghan Canadian Organization,1505868-6,712276344RC0001
Afghan Journalists Safety Committee,1539562-3,786974550RC0001
Afghan Canadian Support Of Waterloo Region,1551787-7,777463753RC0001
AFGHAN CANADIAN CAPITAL SOCIETY,1578664-9,793748427RC0001
Afghan Girls Rise Up Foundation,1590408-1,784921629RC0001
Afghan Christian Church of Canada,1621637-4,760138024RC0001
Afghan-Canadian Sports Association of Ottawa,1645504-2,742209422RC0001
Afghan Women Association for Rehabilitation and Development (AWARD),1663624-1,727517823RC0001
Afghan Women Coordination Umbrella,1670088-8,722118627RC0001
Afghan Women’s Global Alliance,1684263-1,709328025RC0001
Afghan Media Association in Canada,1686169-5,708330824RC0001
Afghan Immigrant Women and Their Families Services Organization,1693379-3,701640625RC0001
The Afghan International Human Rights Organization,1743759-5,760811034RC0001
AFGHANIA CULTURAL ORGANIZATION,1320756-1,786270900RC0001
Hope for Afghanistan Refugees and Immigrants,1155896-0,777366873RC0001
CANADA AFGHANISTAN ASSOCIATION OF HEALTH PROFESSIONALS,1228407-3,716908934RC0001
The Afghanistan Security Institute,1320927-0,785872607RC0001
Lifeline Afghanistan,1330010-2,780268405RC0001
Afghanistan Human Rights and Democracy Organization,1429529-3,707536801RC0001
Canada-Afghanistan Immigration Settlement Organization,1445749-8,796029015RC0001
The Bright Future Afghanistan,1447453-8,794595215RC0001
Network of Community Schools for Girls in Afghanistan,1472964-1,736635541
AFGHANISTAN HUMANITARIAN RELIEF,1487563-0,725434740
Helping Hands for Afghanistan,1497696-7,716353149RC0001
Afghanistan Women Foundation,1503090-1,714402948RC0001
Afghanistan Studies and Development Initiative,1550424-4,716593819RC0001
Canada Afghanistan Foundation,1556054-3,712018415RC0001
Humanitarian Organization for the People of Afghanistan (HOPA),1652866-0,735920423RC0001
Health and Social Development Organization for Afghanistan,1734858-4,732250162RC0001
Afghanistan Renewal Foundation,1735496-7,767806235RC0001
Afghans Helping Afghans,1240918-6,706992336RC0001
Cultural & Empowerment Organization for Afghans,1452973-1,790503213RC0001
United Afghans of Canada,1482973-5,728853540
Afghans for Progressive Thinking Organization,1361808-1,758799100RC0001
AfghansOfToronto,1310005-7,789518909RC0001
African Heritage Resources Information Centre (AFHRIC),446127-4,818457558RC0001
AFIFO ONG,1514796-4,705481547RC0001
AFIRE MENTORSHIP PROGRAMME,1339348-8,773662606RC0001
afiWe Snow and Board Sports Inc.,1654845-8,796922565RC0001
Afiwi Groove School,1101636-9,732091715RC0001
Afiwi Foundation,1368895-0,754279503RC0001
Afiwi Community Centre and Support Services Inc.,1537802-8,725968812RC0001
Aflame Centre Church,1343136-3,771625506RC0001
The Aflame church International House of Grace,1525638-1,792966954RC0001
Men of Valour Prayer_FC_AFM_Canada,1304688-5,797092608RC0001
AFOA CANADA,363739-5,883195927RC0001
Afous Rofous Learning Association,1403423-6,726962103RC0001
AFP FOUNDATION FOR PHILANTHROPY - CANADA,346301-0,869811596RC0001
Association of Fundraising Professionals (AFP) Ottawa Chapter,376588-1,889664306RC0001
Association Francophone de Parents d'Enfants Dyslexiques ou ayant tout autre trouble d'apprentissage (AFPED+),366467-8,867799348RC0001
Afrah Orphans Education,1461138-1,783806011RC0001
Afri Music Canada Vibes,1376725-6,747393007RC0001
Afri-Car Diversity and Inclusion Inc.,1381690-7,745298703RC0001
Afri-Cana-Initiative-Foundation,1617700-0,725415756RC0001
Sankofa Afri-Canadian Mentorship+ Hub,1682596-6,773348966RC0001
Afri-Canada Green Hub,1364946-6,757292909RC0001
Afri Data Warehouse,1528536-4,733200018RC0001
Amref Health Africa in Canada,031657-1,119211282RC0001
Canada-Africa Community Health Alliance,412753-6,862889755RC0001
Canada East Africa Chamber of Commerce,429237-5,840394472RC0001
CANADA-AFRICA DEVELOPMENT AND RELIEF AGENCY - CADRA,445799-4,821536612RC0001
AFRICA HARVEST BIOTECH FOUNDATION INTERNATIONAL,448300-6,855884292RC0001
Africa Caribbean Support Services,449798-8,831281316RC0001
The Canada-Africa Chamber of Business,303145-4,880935044RC0001
Unveiling Africa Institute,863449-1,846124576RC0001
AFRICA EXODUS,944161-1,805610722RC0001
CANCER CARE WEST AFRICA,952896-2,794890095RC0001
Economic Innovation Institute for Africa,955670-2,791935091RC0001
Africa For Africa,984909-2,758763890RC0001
Africa Live Canada,985730-3,757745492RC0001
Canada-Arab Congress on Middle East and North Africa Relations,1005206-0,735412298RC0001
Canadian Samaritans for Africa,1006347-9,733825491RC0001
TRANS AFRICA PIPELINE INC.,759893-9,839042116RC0001
Stolen From Africa,759900-5,842866402RC0001
Canadian Nurses for Africa,802472-3,835080904RC0001
Canadian Friends of the Museum of AIDS in Africa,812898-7,813862489RC0001
HOPE AMBASSADORS TO AFRICA,813009-4,814216305RC0001
"Forum for Indigenous Education, Learning and Development (FIELD) for Africa",1050926-4,783434285RC0001
Canadian Community for the Horn of Africa.,1086230-4,745602110RC0001
CANADIAN ASSOCIATION FOR REFUGEES IN AFRICA(CARA),1116251-9,718414311RC0001
Horn of Africa Disability Centre,1133803-0,702315680RC0001
Transition Africa,1141765-7,792026536RC0001
Safe Hospitals for Africa,1145979-1,787310135RC0001
Centre for Innovations in Regional Economic Development in Africa,1165350-4,768295339RC0001
Friends of Africa Development Foundation,1185913-7,750789075RC0001
Kids In Need Africa,1206082-5,734463078RC0001
LabEight Africa,1220647-1,722682937RC0001
DAAS Africa,1226678-4,711215277RC0001
WE HELP AFRICA,1243974-3,704315878RC0001
HAMILTON AFRICA HERITAGE AWARDS,1251808-2,797991742RC0001
Keeping Hope Alive for Africa Society,1265946-8,786914861RC0001
Say Africa!,1279911-1,774506547RC0001
FUNDO AFRICA PROJECT,1327091-2,774236400RC0001
United State of Africa Organization,1342209-7,771800802RC0001
Friends of Africa Coalition,1350770-0,766293104RC0001
AFRICA CRICKET CLUB,1381527-7,745028308RC0001
MALAIKA AFRICA MEDICAL SERVICES,1384035-2,735894800RC0001
Women Alliance for Humanitarian Assistance in Canada and Africa,1386161-9,740653001RC0001
Object Oriented Development in Africa Institute,1403457-1,727346900RC0001
Canada For Africa Group,1410798-5,722079100RC0001
The North America & Africa Business League,1425356-6,711503706RC0001
Reviving Africa,1433319-5,704463801RC0001
Archangels of North America-Africa,1438901-8,701999500RC0001
AFRICA INTEGRATION CANADA,1444633-0,796792810RC0001
Horn of Africa Clinical Practice Development Inc.,1445809-5,796007219RC0001
FUTURE OF AFRICA - CANADA,1464929-0,772006219
Canada Support Charity For East Africa,1490212-2,723240545RC0001
I.N.S.P.I.R.E. Africa,1515387-5,705049948RC0001
iGrandchild Africa Canadian community,1518698-6,739162410RC0001
Inner Healing Support Africa,1539423-6,724967617RC0001
The Coalition of Africa-Led Organizations in Canada,1541473-3,723436010RC0001
Presbyterian Church of East Africa (PCEA) CANADA,1546114-6,719790016RC0001
Light Africa Network (LANE),1561399-0,707773818RC0001
Africa Inland Mission International (Canada),1570861-3,129539953RC0001
Kids Connect Africa,1609677-8,732451356RC0001
NGO Africa,1629071-0,717284954RC0001
Hoops of Compassion Africa,1635043-7,712366152RC0001
Africa-Canada Policy Innovation Lab,1646768-7,728064825RC0001
DEMAIN AFRICA EDUCATION,1653742-1,798005161RC0001
Canadian Hope for Africa,1011814-1,726711120RC0001
Love Africa Project,1016576-0,722160892RC0001
Crown of Honour Africa Foundation,1527264-5,733984215RC0001
Africa Indigenous Research Network,1731388-8,735207169RC0001
Canada-Africa Sports Foundation,1736965-4,766387435RC0001
EmpowerGen Africa,1742318-7,761975432RC0001
CENTRE CULTUREL AFRICAIN D'OTTAWA-GATINEAU LE PHARE (CCAOG LE PHARE),1260510-4,790918346RC0001
UNION POUR LA PROMOTION DE LA FEMME AFRICAINE (UPFA),754366-2,842335606RC0001
Association de la communauté des pays de grand lac pour la promotion de la solidarité et de la culture africaine au Canada,1588982-1,786325423RC0001
Centre de l’Identité et de la Culture Africaines - CICA,1098478-7,735249484RC0001
Centre familial pour la santé mentale des communautés africaines,1592314-0,746213958RC0001
ASSOCIATION POUR LA PROMOTION DES JEUX TRADITIONNELS AFRICAINS (APJETA),1738260-0,729206169RC0001
African South Sudanese Community Association-ASSCA,340159-6,Not Available
THE CANADIAN AND AFRICAN BUSINESS WOMEN'S ALLIANCE,395616-4,873009716RC0001
African Christian Missions Canada,412524-0,853651446RC0001
The Pan African Council of Canada (TPACOC),428613-8,845127943RC0001
CONTINENTAL AFRICAN FAMILY OUTREACH SERVICES,431408-5,828487546RC0001
African Canadian Community Support Foundation,440589-7,825945520RC0001
AFRICAN-CANADIAN CHRISTIAN NETWORK -,443427-7,854837952RC0001
WAAMU African Organisation for HIV/AIDS,447093-1,810126417RC0001
African Dream International,453634-7,834202269RC0001
CANADIAN ASSOCIATION OF AFRICAN STUDIES,230835-5,875568867RC0001
AFRICAN CANADIAN VILLAGE COMMUNITY CENTRE INC.,308073-1,879363877RC0001
GREAT LAKES AFRICAN MUSLIM ASSOCIATION OF ONTARIO,838880-6,827141938RC0001
AFRICAN CHARITIES INTERNATIONAL MISSIONS,848606-9,805465044RC0001
CAFRIKS-CANADIAN AFRICAN SOCIETY,887934-6,813687977RC0001
Caribbean African Canadian (CAFCAN) Social Services,888832-9,804141836RC0001
Save African Child Uganda,913071-3,803897396RC0001
"AFRICAN, CARIBBEAN AND INTERNATIONAL ASSOCIATION OF EASTERN ONTARIO",928150-9,811911320RC0001
AFRICAN DIASPORA YOUTH NETWORK IN NORTH AMERICA,938857-5,795150499RC0001
AFRICAN WILDLIFE FOUNDATION OF CANADA,960558-4,776267296RC0001
AFRICAN HERITAGE EDUCATORS' NETWORK (AHEN),969856-6,775762925RC0001
THE LITTLE HELP AFRICAN FOUNDATION,997088-6,743642126RC0001
THE AFRICAN INSTITUTE FOR MATHEMATICAL SCIENCES - NEXT EINSTEIN INITIATIVE FOUNDATION (CANADA),771344-4,827813601RC0001
National African Canadian Association,781527-1,815966502RC0001
"AFRICAN WOMEN INITIATIVE FOR SELF-EMPOWERMENT ""AWISE""",812732-8,839525045RC0001
AFRICAN WOMEN COALITION INITIATIVE,813265-8,805302486RC0001
African Community Fund for Education Canada,1030385-2,705681096RC0001
African Youth Union Commission,1044309-3,790379481RC0001
PRESTIGE AFRICAN-CANADIAN SUPPORT SERVICES,1070493-8,762704484RC0001
Historical African Martial Arts Association,1071062-8,761000314RC0001
"ICCCASU International Council on Canadian, Chinese and African Sustainable Urbanization",1074110-8,741643480RC0001
African Impact Initiative,1096259-7,735982316RC0001
African and Caribbean Walk of Fame,1097561-3,735856916RC0001
Humanitarian African Relief Organization - Windsor Chapter,1101930-9,732926886RC0001
PAN AFRICAN FESTIVAL,1108238-8,727048480RC0001
African Alumni Association,1112977-5,722649688RC0001
East-African Integration in Canada,1135335-7,799249933RC0001
BLing Events International Entertainment (BEI) Black African Caribbean Canadian Artists Unite (BACCAU),1138755-3,796291276RC0001
CANADIAN AFRICAN AUTO FOUNDATION,1163521-2,770081339RC0001
African Society Enhancement Services Canada (CASES Canada),1174914-5,758763536RC0001
THE GREAT CANADIAN AND AFRICAN DIASPORA FOUNDATION,1179027-7,756680476RC0001
Canadians of African Descent Health Organization,1189786-1,747052132RC0001
African Community Wellness Initiative,1203495-6,735780934RC0001
African Canadian Seniors Network,1207734-5,733075931RC0001
African Centre in Toronto,1215486-2,726756075RC0001
AFRICAN SCHOLARS INITIATIVE,1218033-2,725328736RC0001
