Corporate Name,Corporation Number,Business Number
AfrikanaKids Foundation,1559731-5,709283410RC0001
Fondation Afriqu'Aide Médicale,1322730-8,783839509RC0001
CHANTIER D'AFRIQUE DU CANADA (CHAFRIC),391390-2,869314815RC0001
CONSEIL CANADIEN POUR L'AFRIQUE,407423-8,863679064RC0001
FORUM AFRIQUE EXPANSION,419170-6,870388006RC0001
La Chambre de Commerce Canada Afrique Sub-saharienne (CCCAS),419272-9,870763505RC0001
Connexion Jeunesse Canada Afrique (CJCA),425498-8,854792231RC0001
PRODUCTIONS NUITS D'AFRIQUE INC.,225996-6,120789987RC0001
COLLABORATION AFRIQUE AMERIQUE DU NORD (CAFAN),914223-1,817748981RC0001
ASSOCIATION CANADIENNE POUR LA BONNE GOUVERNANCE EN AFRIQUE,936569-9,812633121RC0001
La Maison d'Afrique,963586-6,778675124RC0001
ASSOCIATION POUR LA SOLIDARITÉ DES ORPHELINS DE L'AFRIQUE DES PAYS DES GRANDS LACS,966902-7,778456129RC0001
Eau-Afrique,994622-5,746540921RC0001
ÉGLISE TRADITIONNELLE DE NOS ANCETRES RWANDA (AFRIQUE),1021415-9,716225123
BUREAU INTERNATIONAL DE LUTTE CONTRE LA CORRUPTION EN AFRIQUE,1040493-4,794169482RC0001
Réseau des chambres des experts européens départements Afrique de l'ouest,1095625-2,733526511RC0001
AFRIQUE FC TORONTO,1104947-0,728341314RC0001
Chambre de commerce Québec-Afrique,1134301-7,701203689RC0001
DIASPORA POUR L'ÉMERGENCE DE L'AFRIQUE,1136669-6,797655339RC0001
Pour la dignite humaine canada-Sahel d'Afrique,1141394-5,793012873RC0001
ASSOCIATION DES FUMÉS & SALÉS D'AFRIQUE-CARAIBE-CANADA,1175969-8,759208937RC0001
Centre Canadien de Recherche Interdisciplinaire sur l'Afrique (CARIA),1207202-5,733496137RC0001
InterTogo - InterAf : Citoyens et Amis du Togo et d'Afrique,1229101-1,715557732RC0001
Fondation Canada Québec Afrique des Études Supérieures,1240879-1,706638079RC0001
Clusters d'Afrique et du Canada,1248034-4,798470464RC0001
AFRIQUE EDUCATION,1267629-0,783951544RC0001
Afrique Regard Social,1317375-5,788219608RC0001
Génie D'Afrique Foundation (GAF),1346788-1,768568701RC0001
IDÉES-AFRIQUE,1467324-7,740631411RC0001
RÉSEAU INTERNATIONAL CANADA-AFRIQUE DE L'OUEST POUR LA SÉCURITÉ ROUTIERE.,1469704-9,776932816
Fondation Santé Afrique Canada,1497433-6,755158011RC0001
Fusion Culturelle Afrique-Canada,1629811-7,753926625RC0001
La Chambre de Commerce Canada-Afrique,1638610-5,747168623RC0001
SYNERGIE INTERNATIONALE POUR LE DEVELOPPEMENT DE L'AFRIQUE,1190917-7,746616275RC0001
"Ebene D'afrique ""EBA""",1361933-8,757970009RC0001
Entraide Afrique,1529099-6,732251616RC0001
Fondation Solidarité Afrique-Canada,1712059-1,785375031RC0001
Le Réseau pour le Partenariat Afrique Canada- RPAC,1729893-5,733519763RC0001
FORUM CANADA-AFRIQUE FORUM,1732450-2,734321961RC0001
TRÉSORS D'AFRIQUE,1732637-8,769775230RC0001
SOLIDARITE AFRIQUE MONDE,1733784-1,733149967RC0001
First Agriculture & Élevage Lemogo Afrique Impact,1735746-0,766688030RC0001
FONDATION RECYCL'AIDE-INTERNATIONALE - ONG Pour l'assistance humanitaire et le développement social en Afrique,1736296-0,766738637RC0001
DROITS ET LIBERTÉS EN AFRIQUE,822268-1,850862335RC0001
Afrismiles,1314511-5,790789200RC0001
Afriwat,1499687-9,754731412RC0001
Afriyie Foundation,1513227-4,744670811RC0001
Centre Afro-Canadien de Coopération et de Développement inc.,191238-1,874175797RC0001
AFRO-CAN FILM AND ARTS FOUNDATION,880035-9,816257638RC0001
AFRO-CARIBE COMMUNITY FOUNDATION OF KINGSTON,973682-4,771642097RC0001
AFRO ASIA-PACIFIC DEVELOPMENT COUNCIL FOUNDATION,1050988-4,782839914RC0001
AFRO-CANADIAN CHAMBER OF COMMERCE,1131189-1,795154731RC0001
International Afro Society,1149608-5,771517133RC0001
Afro Women and Youth Foundation,1165808-5,767931934RC0001
Afro Dominicana Community Organization,1204384-0,735458739RC0001
Afro Professionals,1227526-1,717147474RC0001
Afro Canadian Contractors Association,1231644-7,714111531RC0001
Afro- Canadian Outreach Foundation,1238019-6,708952874RC0001
Paving Positive Pathways for Afro-Caribbeans,1244663-4,704458538RC0001
AFRO-CANADA DEVELOPMENT FOUNDATION,1246442-0,703131730RC0001
International Reggae Afro Latin Music and Arts Festival (IRAL),1258330-5,792087660RC0001
Afro-Canadian Entrepreneurs Association,1267766-1,784055147RC0001
Fondation Afro Monde,1301515-7,798708608RC0001
Afro Canadian Political Literacy Foundation,1309725-1,794278507RC0001
Afro Canadian Immigrants Foundation,1331410-3,779508902RC0001
Ontario Afro Culinary Hub,1349570-1,766711600RC0001
The Youngsters Afro-Caribbean Network,1400062-5,728741000RC0001
Dynamique Afro-Vision,1411933-9,719267403RC0001
AFRO BRAIDING CENTER,1447889-4,756538344RC0001
Conseil des auteur·e·s francophones afro-canadien·ne·s (CAFAC),1455549-0,749630349RC0001
Afro Canadian Youth Development and Support Org,1477848-1,732304944
FESTIVAL INTERNATIONAL AFRO ET DIVERSITÉ DE CORNWALL SDG,1494513-1,758228217RC0001
Afro-Canadian Resettlement Association,1503415-9,714078946RC0001
AFRO ARTS AND CULTURAL FESTIVAL,1517639-5,703388744RC0001
COMMUNAUTE AFRO-CANADIEN ET MALADIES MENTALES,1519989-1,700751142RC0001
Afro Arts Cultural Masquerade Organization,1556822-6,773859954RC0001
Afro Ignite,1574135-1,794734624RC0001
New Afro - Canadian Foundation,1574905-1,760064956RC0001
Afro Canadian Business Alliance,1580901-1,750562159RC0001
Réseau Métiers Afro-Canadien,1596539-0,779763424RC0001
Afro-Canadian Immigrants Empowerment,1604943-5,736049552RC0001
Afro Canadian Development Inc.,1627750-1,755333424RC0001
Afro Cognitive Health Collective,1635827-6,711629758RC0001
AFRO-CANADIAN WOMEN PRAYER MINISTRY,1642074-5,706986353RC0001
Somali Canadian afro culture center,1643003-1,742612625RC0001
Afro Heritage Festival,1646350-9,704168756RC0001
Afro-Canadian Refugee Food Support Initiative,1652499-1,735832222RC0001
Afro-Caribbean Food Bank Canada Centre,1655462-8,796758969RC0001
Afro-Canadian Centre for Women and Families,1657197-2,794907360RC0001
Afro and Black Construction and Design Crew,1659859-5,792683567RC0001
Afro Guardian initiative AGI,1200772-0,737802132RC0001
AFRO-CARIBBEAN CULTURE AND ARTS COMMUNITY CENTRE,1363990-8,756421806RC0001
URITHI Afro-Héritage Québec,1521786-5,700226749RC0001
Afro-Canada Agribusiness Initiative,1522227-3,799807151RC0001
AFRO LIVE PRODUCTIONS INC.,1522319-9,799734959RC0001
Familles Afro Francofun,1692014-4,703093021RC0001
Resettlement Society for Displaced Afro-Indigenous Nova Scotians,1692606-1,702627621RC0001
AFRO-FRANCOPHONIE CANADA,1693079-4,765383369RC0001
Southern Alberta Afro-Canadian Association,1699359-1,793595034RC0001
Afro-Canadian Cultural and Art Association,1709482-5,788799039RC0001
Rendez-vous des Aîné·e·s Haïtiens et Afro-caribéens d’Ottawa,1716073-9,783569833RC0001
Afro Transitional Indigenous Housing,1716146-8,747198968RC0001
Afro-Canadian International Sport Association,1729174-4,735206161RC0001
LuvBay Afrobeat Music Talk Radio,1224659-7,719396533RC0001
AFROBEATS MUSIC FESTIVALS INC.,1391723-1,734736408RC0001
AfroBiome Foods Incorporated,1673955-5,780296760RC0001
AFROCANADA TÉLÉVISION,1660596-6,789933769RC0001
London AfroCentric Arts Association,1504795-1,713016749RC0001
Afrodescendant Leadership Alliance,1376378-1,747741601RC0001
Afrofest Sudbury,1183079-1,753428275RC0001
AfroFun,1335346-0,776649402RC0001
The AfroKolektiv Arts Center Association,1680632-5,710822222RC0001
AfroLeadership Canada,1490454-1,723226544RC0001
AFROTROPICAL MARKET GARDEN PLUS,1527883-0,795779156RC0001
AFROWAVETO,1219373-6,724130133RC0001
"Humaneo, la Fondation d'AFS Interculture Canada",1096824-2,737775486RC0001
Pakistan Sweet Home-AFT,1507705-2,748796018RC0001
Afta Human Development Foundation,1402248-3,723625307RC0001
after the curb,1101815-9,732938287RC0001
Ladies After God’s Own Heart ministry,1206662-9,733864730RC0001
SOUGHT AFTER FOUNDATION,1218399-4,725143473RC0001
Hex After Dark Film Festival,1563746-5,706285814RC0001
Think After God,1582814-7,753754159RC0001
Fredluc Children and Youth School-After-School,1690991-4,704189620RC0001
AFTERGLO WELLNESS SOCIETY LIMITED,1385407-8,741332209RC0001
Aftermath Association Corporation,986215-3,737674523RC0001
Aftermetoo,1082737-1,749805917RC0001
OTTAWA TALMUD TORAH AFTERNOON SCHOOL,1156981-3,136886637RC0001
Afternoon Community,1647996-1,702731753RC0001
"Deans Council - Agriculture, Food and Veterinary Medicine (Deans Council AFVM)",258314-3,896828969RC0001
Faraja-Afya Initiative,1643747-8,742794027RC0001
Afya of Southwestern Ontario,1731183-4,771057437RC0001
Afya Pour Tous,1737333-3,765666839RC0001
Afzal Islamic School & Musalla,1491079-6,722821543RC0001
AG Health and Safety Alliance (Canada),1063101-9,769845116RC0001
SURELIFE AG MINISTRIES,1213814-0,727954737RC0001
"Holy Hill Chapel Makarios City, AG",1673309-3,781622162RC0001
AGA KHAN FOUNDATION CANADA,066641-6,100072586RC0001
The Aga Khan Museum,813389-1,821197514RC0001
Fondation AGAC,1110624-4,724873880RC0001
AGAD NATION,1683778-6,710288226RC0001
AGADABALL CHARITY,1458411-2,786103416RC0001
Agah Association,952082-1,795726520RC0001
I Live Again Canada,1203844-7,736014275RC0001
DREAM AGAIN CENTRE,1460522-5,746432343RC0001
Born Again Recovery Ministries,1676132-1,717318422RC0001
Make Jamaica Great Again Foundation,1744288-2,760861435RC0001
CANADIAN LEAGUE AGAINST EPILEPSY,018410-1,890266596RC0001
National Indigenous Circle Against Family Violence,404604-8,866186059RC0001
Global Organization of Parliamentarians Against Corruption,414740-5,878358100RC0001
CANADIAN PARTNERSHIP AGAINST CANCER CORPORATION,438985-9,834344368RC0001
THE AGAINST MALARIA FOUNDATION (CANADA),439113-6,834775967RC0001
Canadian Artists Against Poverty,449159-9,838510824RC0001
DOCTORS AGAINST RACISM AND ANTI-SEMITISM (DARA),452367-9,801050691RC0001
Mothers Against Drunk Driving (MADD Canada) -,250063-9,139072060RC0001
BIKERS AGAINST DRUNK DRIVERS,252614-0,883884462RC0001
Mothers Against Wind Turbines Inc.,873143-8,833998974RC0001
PEOPLE AGAINST VIOLENCE ORG.,908212-3,824807382RC0001
Bon Echo Area Residents Against Turbines,932328-7,820357929RC0001
THE GLOBAL RESEARCH EPICENTER AGAINST HUMAN TRAFFICKING,938929-6,798215497RC0001
FEDERATED INITIATIVE AGAINST POVERTY,952826-1,794510529RC0001
CANADIAN NETWORK UNDERTAKING AGAINST HEPATITIS C,954936-6,792892499RC0001
Rise Against Poverty Worldwide,970420-5,775206493RC0001
International Information Coalition Against Dictatorship (IICAD),986187-4,732404322RC0001
Beauty Against Cancer,998907-2,740740493RC0001
Canadians Against Slavery,767272-1,840685119RC0001
Ottawa Coalition to End Violence Against Women,792266-3,847440500RC0001
CHRISTIANS AGAINST POVERTY CANADA,822846-9,841397532RC0001
MPAHT Meeting Professionals Against Human Trafficking,1062309-1,771284080RC0001
World Organization Against Corruption,1116274-8,719601684RC0001
CANADIAN COALITION AGAINST TERROR (C-CAT),1152183-7,781060678RC0001
Positive progress against climate change,1167805-1,766045330
Parents Against Driving High,1213211-7,729196139RC0001
Canadians Against Oppression & Persecution (CAOP),1216565-1,726725674RC0001
MOMS AGAINST RACISM (CANADA),1219005-2,724332937RC0001
The Canadian Council of Business Leaders Against Anti-Black Systemic Racism,1220983-7,723021531RC0001
Council of Muslims Against Antisemitism,1224277-0,719874331RC0001
Against Parental Alienation Canada,1232529-2,708537733RC0001
Coalition of Innovation Leaders Against Racism (CILAR),1237791-8,709680532RC0001
People Against Littering,1292227-4,766484547RC0001
VOICES AGAINST FEMALE GENITAL MUTILATION FOUNDATION,1292959-7,764876744RC0001
National Coalition of Canadians Against Anti-Asian Racism,1306325-9,796838803RC0001
Parents Against Racism Simcoe County,1394856-1,733200505RC0001
Global Alliance Against Traffic in Women Canada,1420731-9,715153706RC0001
Innisfail Stands Against Violence,1441370-9,700304108RC0001
International Coalition Against Discrimination,1512174-4,745111211RC0001
Global Fight Against Human Trafficking,1564267-1,768076358RC0001
South Asian Society Against Discrimination,1588231-1,749334751RC0001
Logistics Against Poverty,1589866-8,746959550RC0001
Canadian Women Against Antisemitism Foundation,1592220-8,745932558RC0001
DAWN Against Trafficking,1623530-1,758629224RC0001
Voices Against Violence,1631107-5,715345153RC0001
Stand Against Bullies Foundation,1642829-1,743758229RC0001
Fight Against Brain Injury Foundation,1645796-7,704591353RC0001
Hope (Against) Trafficking Foundation,1683797-2,710268228RC0001
Against Racism Toronto,1690302-9,767733769RC0001
United Against Antisemitism Association,1690835-7,703954826RC0001
ARTISTS AGAINST RACISM,322424-4,892377540RC0001
International Coalition Against Racism Everywhere,1712445-7,783559230RC0001
Face to Face Against Exploitation Association,1732479-1,734199169RC0001
CLARITY AGAINST CANCER,1734989-1,732350368RC0001
Agalateya Sports Club,1405067-3,724911805RC0001
Jesus Deliverance Ministry - The Agalop of Canada,1112600-8,723010484RC0001
Agama International Zen Practice Centre,1531610-3,730739216RC0001
Progression by Agame,1245190-5,703975136RC0001
ASSOCIATION INTERNATIONALE DES TECHNICIENS ET TECHNICIENNES EN MASSAGES AGAOWAZIENS,435300-5,854669322RC0001
AGAPAO-QUEBEC CENTRE,1485313-0,723807145RC0001
Agapao Church,1677908-5,704940824RC0001
Fondation Médicale Agapè,017665-6,Not Available
Agape Unlimited Health Services,452666-0,846048452RC0001
"Unity Church of Agape, Toronto",199474-3,108160466RC0001
"AGAPE RESTORATION OUTREACH CENTRE, INC.",249183-4,890144975RC0001
Agape Dream Foundation,900331-2,837604990RC0001
Agape Vision Impact,928742-6,802916197RC0001
Agape Ensemble,930696-0,819587163RC0001
Agape Spiritual Center,1019222-8,718974298RC0001
Agape International Fellowship Canada,1114450-2,721235281RC0001
AGAPE FOR ALL NATIONS INTERNATIONAL,1116499-6,718363518RC0001
AGAPE TOUCH,1208761-8,732377338RC0001
Agape BPC,1209143-7,732357074RC0001
AGAPE ALLOURLIVES MINISTRIES,1224842-5,719338139RC0001
The AGAPE House Church,1264561-1,786655860RC0001
Agape Chinese Bible Church,1286436-3,769974940RC0001
Église Mennonite Agape,1302368-1,799313002RC0001
Project Agape,1309287-9,794363507RC0001
The Agape Christian Ministries (The Amplified Church),1411903-7,719699803RC0001
Agape Place Peel Inc.,1515734-0,704757145RC0001
AGAPE LIGHT CHURCH Inc.,1601492-5,738620350RC0001
ÉGLISE AGAPE CHURCH,1016204-3,721283521RC0001
Agape Pathway Canada,1702075-9,793679838RC0001
Agape Life Community,1733583-1,768846834RC0001
AgArt International,1683809-0,710299223RC0001
World Agarwood Association,1733747-7,768835431RC0001
World Agarwood Industry Federation,1733748-5,768872236RC0001
AGAT Foundation,1192538-5,744652538RC0001
AGATA Resource Centre. Inc.,1142906-0,792142671RC0001
Agave Club of Canada,1272969-5,780891263RC0001
Assocation des groupes en arts visuels francophones (AGAVF),423014-1,864449475RC0001
THE SUNDAY BASIL AGBA LEGACY FOUNDATION,1418089-5,715449203RC0001
CHRIST APOSTOLIC CHURCH (AGBALA ITURA) BRAMPTON ASSEMBLY,447843-6,856050299RC0001
Peter Agboga Derock Ministries,1720025-1,780487039RC0001
L'Amicale des Guinéens de la Capitale Nationale (AGCN),813415-4,801885286RC0001
AGCOM Canada - Ark of God's Covenant Ministry Canada,1718679-7,745439760RC0001
GOLDEN AGE BENEVOLENCE,338227-3,886484278RC0001
Third Age Learning - York Region,878579-1,812825230RC0001
ARIRANG AGE-FRIENDLY COMMUNITY CENTRE,882105-4,813245636RC0001
AGE-WELL NCE,909002-9,824029987RC0001
Age Reversal Scientific Research Foundation,963864-4,782587299RC0001
The Age of Elegance Qipao Group,1101244-4,733079685RC0001
Cycling Without Age Canada,1109017-8,715525481RC0001
Age of Union Alliance,1164877-2,768891137RC0001
Canadian Golden Age Celebration,1217505-3,725442073RC0001
Third Age Learning Kitchener-Waterloo,1302772-4,798431300RC0001
Chinese Age-well Research and Education,1340791-8,773174701RC0001
Age Well Strategies Inc,1435252-1,704699701RC0001
Golden Age Living,1460674-4,746306943RC0001
Age-Friendly North Lanark,1471438-5,775728819
Golden Age in Motion,1491885-1,759605215RC0001
AGE Charitable Foundation,1651926-1,799816368RC0001
Golden Age Care Initiative,1659046-2,793516360RC0001
Age-Friendly Niagara Council,1689532-8,705189025
GOLDEN AGE Seniors Social Association,1716980-9,746645365RC0001
JCA Golden Age Club,1727332-1,738404961RC0001
CANADIAN MIDDLE-OLD AGED MULTICULTURALISM FEDERATION,1167015-8,766872733RC0001
Gadnite Child and Aged Aid Foundation,1191635-1,745791475RC0001
LA FONDATION D'AIDE AUX PERSONNES AGEES DE COWANSVILLE INC.,067343-9,892637240
FONDATION SECOURS AUX PERSONNES ÂGÉES ET/VULNÉRABLES (FOSPAV),927047-7,804408995RC0001
PROJET INTERNATIONAL D'AIDE AUX PERSONNES AGEES ET DEFAVORISEES<< PIDPAD>>,1179594-5,755674132RC0001
INTERNATIONAL FEDERATION ON AGEING,292191-0,137463808RC0001
IFA INTERNATIONAL CENTRE OF EXCELLENCE ON AGEING,897282-6,817135981RC0001
Ageless International Film Festival,1283887-7,772396941RC0001
Ageless Solar Developments Inc,1607556-8,734433154RC0001
Ageless Horizons Foundation,1728797-6,737301960RC0001
Agence Internationale Communautaire Agico,359385-1,Not Available
Agence Algosphère,836897-0,829234640RC0001
AGENCE KOREISSI,1468716-7,778032813
Agence mondiale de modélisation énergétique (AMME),1560565-2,708432018RC0001
Agence Passerelle,1652584-9,736296229RC0001
AGENCE DE RECRUTEMENT DES TRAVAILLEURS ÉTRANGERS-ARTE,1719198-7,779076835RC0001
Agences des arts de la scène Performing Arts Agencies Canada,1311745-6,792675704RC0001
Association of Canadian Travel Agencies,022640-8,106683451RC0001
Institute of Canadian Agencies,046221-7,107508509RC0001
Canadian Association of Provincial Cancer Agencies,367005-8,884346123RC0001
Association of International Customs and Border Agencies,384599-1,861369197RC0001
CANADIAN ASSOCIATION OF INDEPENDENT LIFE BROKERAGE AGENCIES,428994-3,Not Available
Canadian Network of Agencies for Regulation (CNAR),438094-1,837868322RC0001
Federation of Law Reform Agencies of Canada,265917-4,875629263RC0001
THE ASSOCIATION OF PROFESSIONAL SECURITY AGENCIES,292227-4,873911473RC0001
Atlantic Region Association of Immigrant Serving Agencies,312567-0,898192778RC0001
HOPE International Development Agency,024000-1,Not Available
THE FEDERAL LIBERAL AGENCY OF CANADA,092908-5,107377921RC0001
ALL NATIONS INTERNATIONAL DEVELOPMENT AGENCY,335302-8,886394162RC0001
Canadian Cattle Identification Agency,347161-6,869590646RC0001
XINHUA NEWS AGENCY OTTAWA BUREAU,401719-6,862615317RC0001
GENERAL INSURANCE STATISTICAL AGENCY,431227-9,831264742RC0001
Building Blocks for Child Care: The Canadian Development Agency for Early Learning and Child Care Services Inc.,432963-5,816877070RC0001
AKWESASNE ECONOMIC DEVELOPMENT AGENCY,213015-7,126028935RC0001
THE CANADIAN COPYRIGHT LICENSING AGENCY,237058-1,122997059RC0001
CANADIAN AGENCY FOR DRUGS AND TECHNOLOGIES IN HEALTH (CADTH),269812-9,132633868RC0001
CANADIAN BLOOD AGENCY,271186-9,132799883RC0001
LEBANESE & ARAB SOCIAL SERVICES AGENCY,291041-1,135253508RC0001
CANADIAN BEEF GRADING AGENCY,319088-9,887754554RC0001
TTXVN Vietnam News Agency,868908-3,830803839RC0001
Ekin Agency Arts,950629-2,797491891RC0001
Canadian Broadcasters Rights Agency,750151-0,811827450RC0001
SOMALI PROGRESSIVE RELIEF AGENCY (SPRA),797582-1,842199283RC0001
CANADA B&R NEWS AGENCY ASSOCIATION,1068479-1,764241519RC0001
Bismillah Halal Certifying Agency,1099324-7,735420689RC0001
IGBO DIASPORA DEVELOPMENT AGENCY,1211841-6,729982934RC0001
"World Mission Agency, Canada",1221344-3,722581139RC0001
Envision Saint John: The Regional Growth Agency,1245362-2,704226737RC0001
RWANDAN CANADIAN INTER-AGENCY HUB,1330841-3,779809508RC0001
Agency for Peace and Development,1338649-0,774875702RC0001
Babs Community Services Agency,1455217-2,750961542RC0001
"Children's Learning Garden, Home Licensing Agency",1463048-3,782123814RC0001
Nature Agency,1483590-5,717971345RC0001
London Intercommunity Settlement Services Agency-LISSA,1486864-1,726095144
Agency One First Nations Cultural Organization,1543764-4,721695815RC0001
Unity Welcome Settlement Agency,1559750-1,771516150RC0001
Authentic Development Agency International,1606849-9,734788755RC0001
Ultimate care agency,1620746-4,760998229RC0001
Oaks Revitalization Agency,1646792-0,703783357RC0001
Eastern SriLankan Tamils Agency for Research and Development,1191839-7,745542472RC0001
The Artemyev agency Let's talk Canada Parlons.,1197085-2,740324330RC0001
Neqotkuk Child and Family Services Agency Inc.,1521755-5,700276942RC0001
SP—CE Agency,1702453-3,757857560RC0001
Muslim Dayhome Agency Association,1716939-6,746739960RC0001
The Pivotal Agenda,1633458-0,713608552RC0001
CANADIAN SOCCER AGENT ASSOCIATION,1658542-6,731300224RC0001
Agentics Foundation,1674058-8,780886560RC0001
GLOBAL AGENTS FOR CHANGE FOUNDATION,442050-1,850680380RC0001
GLOBAL AGENTS FOR CHANGE,442052-7,850689183RC0001
EFILE AGENTS AND TAX PREPARERS ASSOCIATION OF CANADA,294936-9,892234683RC0001
CANADA EDUCATION CONSULTANTS AND AGENTS ASSOCIATION,964797-0,781427695RC0001
Canadian Association of Managing General Agents,1090396-5,743137887RC0001
AGENTS OF CHANGE INC.,1093211-6,737969311RC0001
UNITED FEDERATION OF TRAVEL AGENTS' ASSOCIATIONS,1415238-7,718358708RC0001
Ageona Communities Foundation,1698296-4,760845560RC0001
"The Rock of Ages Ministries (TRAM), Canada, Inc.",1298696-5,760885541RC0001
ASSOCIATION GENERALE DES ETUDIANT(E)S STAGIAIRES ET ELEVES TOGOLAIS AU CANADA (AGESET-CA),1228366-2,783119746RC0001
AgeTech Futures Institute,1692077-2,702576422RC0001
RICHA & ATUL AGGARWAL FOUNDATION,928161-4,810988725RC0001
Mona & Nav Aggarwal Foundation,939443-5,812004323RC0001
ALL GENERATION COMMUNITY ORGANIZATION (AGGO),1340622-9,799885546RC0001
AGHA JOON FOUNDATION,1230381-7,714936531RC0001
Aydin Aghdashloo Foundation,1213625-2,728814674RC0001
Alliance of Global Innovations (AGI),1417689-8,716875901RC0001
AGIFF Inc.,1534433-6,724593413RC0001
Agiim Farmlife Centre,1702459-2,757890967RC0001
Agile Ottawa Inc,1118798-8,716521315RC0001
CANADA AGILE COMMUNITY CONNECTIONS CORPORATION,1119790-8,716405881
Agilec Foundation,870697-2,837433770RC0001
AgileTO,985414-2,757314521RC0001
Flyball Agility Maritime Express,1117167-4,718864689RC0001
AGINCOURT CHINESE CANADIAN ASSOCIATION,1165436-5,768322679RC0001
Agincourt Church Hockey League Inc.,1172552-1,762780674RC0001
Arts Intersections Agincourt,1405925-5,724112206RC0001
CANADIAN SOCIETY FOR THE STUDY OF THE AGING MALE,355405-8,871517538RC0001
"NATIONAL INSTITUTE OF LAW, POLICY AND AGING",427051-7,859059172RC0001
AGING RESEARCH NETWORK,451415-7,805135696RC0001
Fountain of Health Association for Optimal Aging,986074-6,745723890RC0001
Enoch Society for Care of the Aging,793788-1,847428901RC0001
The National Organization on Aging and Longevity,1037345-1,798315289RC0001
Canada China Healthy Aging Association,1182585-2,753849272RC0001
The Arts and Aging Network,1220729-0,722850534RC0001
Healthy Aging Foundation,1265381-8,787234947RC0001
Aging in Place Supports Calgary,1311585-2,789350907RC0001
Canadian Healthy Aging Service Centre of Shaanxi,1677625-6,767660962RC0001
Aging Proactively CBSSO,1192365-0,745255877RC0001
Strong Aging Foundation,1687250-6,770201564RC0001
Parler Agir,1028870-5,708093091RC0001
Fondation Agir pour le Bien-Être (FABE),1141790-8,783544935RC0001
AGIR ENSEMBLE POUR LE BIEN-ETRE DE TOUS,1570315-8,763073954RC0001
AGLOW INTERNATIONAL CANADA,017007-1,108219536RC0001
Aglow Compassionate Foundation,1657217-1,794899161RC0001
RICHARD AND AGNES CORRIVEAU FOUNDATION,776086-8,Not Available
Agnes Zabali Boys and Girls Club,1345978-1,769996307RC0001
Agnola Care Homes,1602405-0,738419753RC0001
AGNUS DEI MINISTRIES,928204-1,808719769RC0001
AGNUTMAQAN ASSOCIATION,1418806-3,715048203RC0001
AGOMONI CULTURAL ASSOCIATION OF DURHAM,1246150-1,702202276RC0001
AGORA FOUNDATION,080639-1,118778703RC0001
The Agora Cosmopolitan National News Magazine Inc.,302215-3,880655642RC0001
Agora Open Science Trust,933912-4,814851960RC0001
Agora Network Ministries,1233292-2,712036672RC0001
Agora économie circulaire,1483666-9,766476212
Filigrane Agora psychanalytique,1625659-7,719562753RC0001
AGORA ÉCO,1676564-5,779861160RC0001
L'Arbre Agoratoire OBNL,1647370-9,703256958RC0001
DAPO AGORO FOUNDATION FOR PEACE,440485-8,819153016RC0001
Association Agoua Éduc,1656095-4,794919365RC0001
Anishinaabe Agowidiiwinan Secretariat Inc.,978510-8,765913694RC0001
Agrarians Foundation,879354-9,818595639RC0001
Halton Agreement Forest Trail Association,919067-8,815195995RC0001
THE CANADIAN REFUGEE SPONSORSHIP AGREEMENT HOLDERS ASSOCIATION,783902-2,847417508RC0001
FONDATION DE L'ORDRE DES CONSEILLERS EN RESSOURCES HUMAINES AGRÉÉS,451261-8,841344260RC0001
Association canadienne des hypnologues agréés,1610372-3,731917753RC0001
Agri-Food Innovation Council,030286-4,106689094RC0001
THE CANADIAN AGRI-FOOD TRADE ALLIANCE,415678-1,885299701RC0001
Association canadienne d'agri-marketing (Québec),418906-0,865405302RC0001
Canadian Agri-Food Policy Institute,421857-4,852563972RC0001
Agri Santé Boulomobile,441407-1,847089182RC0001
CANADIAN ASSOCIATION OF AGRI-RETAILERS,311519-4,108199837RC0002
"CANADIAN AGRI-BUSINESS EDUCATION FOUNDATION, INC.",839041-0,828593731RC0001
Canadian Agri-Food Foundation,1112681-4,721920916RC0001
Agri Vision Sahel International,1341756-5,771511300RC0001
International Agri-Food Network,1563089-4,706298817RC0001
Canadian Agri-Food Marketers Alliance,1641656-0,707303954RC0001
CANADA AGRI-FOOD SUPPLIER ALLIANCE,1192563-6,744947672RC0001
Youth Agribusiness Empowerment,1434270-4,704005008RC0001
Agribusiness First Organization - Canada,1495036-4,755540812RC0001
FONDATION DES ENTREPRISES EN RECRUTEMENT DE MAIN-D'OEUVRE AGRICOLE ÉTRANGÈRE (FERME),261014-1,Not Available
Programme de Vitalité Sociale et Agricole Canada (ProVISA Canada),1476446-3,734224348
ALLIANCE AGRICOLE BIOLOGIQUE HAÏTIENNE,1593765-5,744514159RC0001
Association Canadienne d'Aide au Développement Agricole en République Démocratique du Congo,1191277-1,746198076RC0001
Association de Travailleurs Agricoles Saisonniers du Québec(ATASQ),1068050-8,765387881RC0001
Agricom Ontario,1161567-0,772268678RC0001
MASCON AgriCoop Solutions Initiative Canada Chapter,1603790-9,774919625RC0001
MOUVEMENT INTERNATIONAL POUR LE SOUTIEN AUX AGRICULTEURS DES PAYS DU SUD,822466-8,801147109RC0001
Canadian Society for Agricultural and Biosystems Engineering,021724-7,860756501RC0001
PIMA - Agricultural Manufacturers of Canada Inc.,377907-6,862204922RC0001
CANADIAN AGRICULTURAL ECONOMICS SOCIETY,382638-4,106842156RC0001
